Outcome,Wound Area V2 vs V1,Wound Area V3 vs V1,r2,Healing Rate,Visit 1 - Wound area in mm2,Visit 2 - Wound area in mm2,Visit 3 - Wound area in mm2,Visit 1 - Total cell number (exudate),Visit 2 - Total cell number (exudate),Visit 3 - Total cell number (exudate),Exudate Cell n r2,Exudate Cell n. slope,Visit 2-Protein in wou dressing ,visit 3-Protein in wou dressing 3,Visit 2 -  number of M1 Exudate,Visit 2-CD105 ,Visit 3-CD105,CD105 Slope,Collagen slope,V1 +,V1 -,V2 +,V2 -,V3 +,V3 -,Age,BMI,Wound duration at day 0,visit 1-IL-6 Exudate,visit 2-IL-6 Exudate,visit 3-IL-6 Exudate,visit 2-IL-6 dressing,visit 3-IL-6 dressing
Avarage,0.203037975,0.273676471,0.666225926,-33.52296296,531.9875,469.9392857,465.1464286,750137.0105,810087.5603,66689230.74,5263.737267,34986984.11,28.77732349,24.11416078,24.88333333,31.79310345,38.86206897,3.090909091,-528.0261316,83.50877193,14.73684211,80.10526316,19.89473684,75.21052632,21.29824561,73.76923077,29.41153846,160.7692308,166.8787618,179.7546077,181.5499249,172.75916,165.0961475
% of NAN,0,0.139240506,0.316455696,0.316455696,0.291139241,0.291139241,0.291139241,0.278481013,0.265822785,0.303797468,0.278481013,0.278481013,0.443037975,0.506329114,0.240506329,0.265822785,0.265822785,0.303797468,0.278481013,0.278481013,0.278481013,0.278481013,0.278481013,0.278481013,0.278481013,0.012658228,0.012658228,0.012658228,0.430379747,0.430379747,0.455696203,0.417721519,0.392405063
%of >150,0.506329114,0.588235294,0.814814815,0.444444444,0.535714286,0.482142857,0.517857143,0.333333333,0.310344828,0.054545455,0.01754386,0.01754386,0.704545455,0.692307692,0.55,0.75862069,0.74137931,0.909090909,0.070175439,0.964912281,1,0.947368421,0.98245614,0.947368421,0.98245614,0.987179487,1,0.615384615,0.8,0.933333333,0.88372093,0.934782609,0.854166667
%of <-150,0.594936709,0.617647059,0.777777778,0.481481481,0.446428571,0.392857143,0.482142857,0.280701754,0.310344828,0.054545455,0.01754386,0.01754386,0.613636364,0.564102564,0.416666667,0.74137931,0.689655172,0.945454545,0.070175439,0.964912281,1,0.912280702,0.98245614,0.912280702,0.98245614,0.974358974,1,0.512820513,0.711111111,0.911111111,0.860465116,0.934782609,0.854166667
%of >250,0.518987342,0.411764706,0.814814815,0.425925926,0.535714286,0.482142857,0.517857143,0.333333333,0.310344828,0.054545455,0.01754386,-0.473684211,0.704545455,0.692307692,0.55,0.75862069,0.74137931,0.927272727,-0.578947368,0.964912281,1,0.947368421,0.98245614,0.947368421,0.98245614,0.987179487,1,0.615384615,0.8,0.933333333,0.88372093,0.934782609,0.854166667
%of <-250,0.544303797,0.617647059,0.666666667,0.425925926,0.160714286,0.053571429,0.071428571,-0.280701754,-0.379310345,-0.890909091,-0.964912281,-0.473684211,0.5,0.512820513,0.233333333,0.534482759,0.534482759,0.945454545,-0.210526316,0.929824561,1,0.929824561,0.964912281,0.929824561,0.964912281,0.987179487,1,0.333333333,0.688888889,0.888888889,0.790697674,0.869565217,0.708333333
